arm,rep,problem,solved,cost,spend
base,1,fatex_1,1,0.05927,0.06063
base,1,fatex_3,1,0.13669,0.14172
base,1,fatex_4,1,0.58807,0.59300
base,1,fatex_5,1,0.12457,0.12697
base,1,fatex_6,1,0.19744,0.20238
base,1,fatex_7,1,0.10502,0.10827
base,1,fatex_8,1,0.04564,0.04712
base,1,fatex_9,1,0.29533,0.30141
base,1,fatex_10,1,0.51601,0.53044
base,1,fatex_11,1,0.21107,0.22127
base,1,fatex_12,1,0.16041,0.16529
base,1,fatex_14,1,0.03544,0.03666
base,1,fatex_16,1,0.51248,0.51352
base,1,fatex_17,0,,1.03572
base,1,fatex_18,0,,0.91894
base,1,fatex_19,1,0.70577,0.71048
base,1,fatex_20,0,,0.85219
base,1,fatex_21,1,0.11798,0.12093
base,1,fatex_22,1,0.17094,0.17551
base,1,fatex_24,1,0.51932,0.52445
base,1,fatex_25,0,,0.53182
base,1,fatex_26,0,,1.00140
base,1,fatex_27,0,,1.00126
base,1,fatex_28,0,,0.37607
base,1,fatex_29,1,0.04860,0.05000
base,1,fatex_30,1,0.02495,0.02620
base,1,fatex_31,0,,1.00222
base,1,fatex_32,0,,0.45143
base,1,fatex_33,0,,0.72424
base,1,fatex_34,1,0.43748,0.45266
base,1,fatex_35,1,0.04403,0.04548
base,1,fatex_36,1,0.20585,0.21057
base,1,fatex_37,0,,1.00047
base,1,fatex_38,1,0.16860,0.17301
base,1,fatex_39,1,0.96415,0.97159
base,1,fatex_40,1,0.75834,0.78210
base,1,fatex_41,0,,1.00297
base,1,fatex_42,1,0.70303,0.70842
base,1,fatex_43,0,,0.07918
base,1,fatex_44,0,,1.00087
base,1,fatex_45,1,0.13961,0.14389
base,1,fatex_46,1,0.20355,0.20879
base,1,fatex_47,0,,0.50857
base,1,fatex_48,1,0.07909,0.08141
base,1,fatex_49,1,0.04322,0.04472
base,1,fatex_50,1,0.50939,0.51468
base,1,fatex_51,1,0.15293,0.15875
base,1,fatex_52,1,0.24611,0.25377
base,1,fatex_53,1,0.47008,0.47887
base,1,fatex_54,1,0.02750,0.02857
base,1,fatex_55,1,0.12793,0.13252
base,1,fatex_56,0,,0.34731
base,1,fatex_57,1,0.09329,0.09629
base,1,fatex_58,0,,1.00066
base,1,fatex_59,1,0.12696,0.13035
base,1,fatex_61,0,,0.28501
base,1,fatex_62,0,,0.84417
base,1,fatex_64,0,,1.00151
base,1,fatex_65,0,,0.15701
base,1,fatex_66,0,,0.17369
base,1,fatex_67,1,0.07119,0.07300
base,1,fatex_68,0,,0.34443
base,1,fatex_69,1,0.19506,0.19984
base,1,fatex_70,1,0.01454,0.01521
base,1,fatex_71,0,,0.36158
base,1,fatex_72,0,,0.08035
base,1,fatex_73,0,,0.14106
base,1,fatex_74,0,,0.06590
base,1,fatex_76,0,,0.45959
base,1,fatex_78,0,,0.17908
base,1,fatex_79,0,,0.20526
base,1,fatex_80,0,,0.13972
base,1,fatex_82,0,,0.07556
base,1,fatex_83,0,,0.09283
base,1,fatex_84,1,0.06278,0.06465
base,1,fatex_85,0,,0.23896
base,1,fatex_86,0,,0.41370
base,1,fatex_87,0,,1.00282
base,1,fatex_88,0,,0.27317
base,1,fatex_89,1,0.31867,0.32538
base,1,fatex_90,0,,0.53240
base,1,fatex_91,0,,0.64760
base,1,fatex_92,0,,0.24617
base,1,fatex_93,0,,1.00057
base,1,fatex_94,0,,0.11230
base,1,fatex_95,0,,0.55805
base,1,fatex_96,0,,0.22201
base,1,fatex_97,0,,0.57247
base,1,fatex_98,0,,0.29930
base,1,fatex_100,0,,0.54415
base,2,fatex_1,1,0.05338,0.05546
base,2,fatex_3,1,0.17651,0.18008
base,2,fatex_4,1,0.24484,0.25185
base,2,fatex_5,1,0.07207,0.07382
base,2,fatex_6,1,0.15213,0.16041
base,2,fatex_7,1,0.07959,0.08215
base,2,fatex_8,1,0.04856,0.05037
base,2,fatex_9,1,0.14552,0.14898
base,2,fatex_10,0,,1.00034
base,2,fatex_11,1,0.31003,0.31949
base,2,fatex_12,1,0.29413,0.29959
base,2,fatex_14,1,0.02343,0.02492
base,2,fatex_16,0,,0.95458
base,2,fatex_17,0,,1.04836
base,2,fatex_18,0,,1.00288
base,2,fatex_19,0,,1.00048
base,2,fatex_20,0,,0.92296
base,2,fatex_21,1,0.15799,0.16238
base,2,fatex_22,1,0.41626,0.42872
base,2,fatex_24,1,0.57836,0.58195
base,2,fatex_25,0,,1.00040
base,2,fatex_26,1,0.38455,0.39167
base,2,fatex_27,0,,1.00113
base,2,fatex_28,0,,0.92315
base,2,fatex_29,1,0.15132,0.15532
base,2,fatex_30,1,0.05219,0.05386
base,2,fatex_31,0,,0.90640
base,2,fatex_32,0,,0.40779
base,2,fatex_33,0,,1.06104
base,2,fatex_34,0,,0.15402
base,2,fatex_35,1,0.09839,0.10210
base,2,fatex_36,1,0.46057,0.46279
base,2,fatex_37,0,,0.53169
base,2,fatex_38,1,0.08183,0.08396
base,2,fatex_39,1,0.22694,0.23130
base,2,fatex_40,1,0.44643,0.45606
base,2,fatex_41,0,,1.00143
base,2,fatex_42,1,0.63937,0.64710
base,2,fatex_43,0,,0.06238
base,2,fatex_44,0,,1.00206
base,2,fatex_45,0,,0.38990
base,2,fatex_46,1,0.26127,0.26484
