arm,rep,problem,solved,proof_lines,proof_decls,checks_pre_nudge,end,nudges,gave_up,ever_green_full,cost_full_first_green,spend_full,turns,turns_full,tokens_in_full,tokens_out_full,tokens_cache_read_full,lean_check,check_snippet,grep_mathlib,search_mathlib,read,write,edit,spawn_calls,workers,worker_spend,add_fact,add_fact_workers,compactions,compactions_full
base,1,fatex_1,1,284,9,17,completed,0,0,1,0.05927,0.06063,42,42,34230,161278,3812736,17,0,0,0,13,1,13,0,0,0.00000,0,0,0,0
base,1,fatex_3,1,612,16,37,completed,0,0,1,0.13669,0.14172,89,89,85123,302336,16123520,37,0,0,0,8,22,28,0,0,0.00000,0,0,0,0
base,1,fatex_4,1,1079,15,73,completed,0,0,1,0.58807,0.59300,255,255,283936,572811,140309248,73,0,0,0,73,15,94,0,0,0.00000,0,0,0,0
base,1,fatex_5,1,485,7,17,completed,0,0,1,0.12457,0.12697,57,57,71949,295724,12175616,17,0,0,0,22,15,2,0,0,0.00000,0,0,0,0
base,1,fatex_6,1,796,27,25,completed,1,0,1,0.19744,0.20748,71,74,119132,441314,24013312,25,0,0,0,16,24,5,0,0,0.00000,0,0,0,0
base,1,fatex_7,1,317,14,20,completed,1,0,1,0.10502,0.11261,54,58,97791,236713,11656832,20,0,0,0,10,20,3,0,0,0.00000,0,0,0,0
base,1,fatex_8,1,157,1,15,completed,0,0,1,0.04564,0.04712,44,44,80325,100780,2733696,15,0,0,0,13,9,8,0,0,0.00000,0,0,0,0
base,1,fatex_9,1,473,5,25,completed,1,0,1,0.29533,0.30955,96,100,143408,580679,45316352,25,0,0,0,17,18,34,0,0,0.00000,0,0,0,0
base,1,fatex_10,1,1532,49,73,completed,0,0,1,0.51601,0.53044,196,196,310496,686279,105288832,73,0,0,0,38,7,76,0,0,0.00000,0,0,0,0
base,1,fatex_11,1,595,24,30,completed,0,0,1,0.21107,0.22127,88,88,193829,390870,30247552,30,0,0,0,16,10,31,0,0,0.00000,0,0,0,0
base,1,fatex_12,1,794,59,40,completed,0,0,1,0.16041,0.16529,92,92,77104,354123,19763328,40,0,0,0,18,26,13,0,0,0.00000,0,0,0,0
base,1,fatex_14,1,134,1,16,completed,1,0,1,0.03544,0.03835,39,42,23118,94438,3095808,16,0,0,0,7,16,1,0,0,0.00000,0,0,0,0
base,1,fatex_16,1,820,14,69,completed,5,0,1,0.51248,0.53113,213,237,499440,655422,99174400,70,0,0,0,46,23,77,0,0,0.00000,0,0,1,1
base,1,fatex_17,0,,,66,budget_exceeded,1,0,0,,1.03572,350,350,632062,1551250,183173504,66,0,0,0,64,17,199,0,0,0.00000,0,0,1,1
base,1,fatex_18,0,,,149,budget_exceeded,1,1,0,,1.00141,417,449,607074,1090934,218200960,149,0,0,0,73,9,187,0,0,0.00000,0,0,1,1
base,1,fatex_19,1,2190,266,89,completed,3,0,1,0.70577,0.73747,289,302,582469,1105596,123698176,89,0,0,0,78,35,92,0,0,0.00000,0,0,1,1
base,1,fatex_20,0,,,123,budget_exceeded,5,1,0,,1.00033,312,363,563241,1403538,188745856,123,0,0,0,29,24,136,0,0,0.00000,0,0,1,2
base,1,fatex_21,1,330,3,33,completed,3,0,1,0.11798,0.13059,82,90,103588,245253,16936192,33,0,0,0,9,18,19,0,0,0.00000,0,0,0,0
base,1,fatex_22,1,533,9,21,completed,0,0,1,0.17094,0.17551,61,61,115428,403337,16578560,21,0,0,0,23,16,4,0,0,0.00000,0,0,0,0
