problem,theorem,cells_solving
fatex_1,isPrincipalIdealRing_of_associated_or_associated,12
fatex_3,exists_leftCoset_rightCoset_representative,12
fatex_4,add_one_eq_two_pow_of_sylow_subgroup_not_normal,12
fatex_5,maximal_abelian_normal_subgroup_of_p_group_is_maximal_abelian_subgroup,12
fatex_6,not_isSimpleGroup_of_card_eq_396,12
fatex_7,not_isSimpleGroup_of_card_eq_1785,12
fatex_8,quaternionAlgebra_isomorphic_to_matrix_ring_or_quaternion_ring,12
fatex_9,sylow_subgroup_not_normal_of_maximal_intersection,12
fatex_10,isPrincipalIdealRing_quot_X_pow_two_plus_Y_pow_two_plus_one,10
fatex_11,not_isomorphic_euclideanDomain,12
fatex_12,isPrincipalIdealRing_of_quadratic_integer_19,12
fatex_14,isomorphic_real_of_fractionRing_isomorphic_real_of_UFD,12
fatex_16,normalClosure_isPExtension_of_isPExtension,11
fatex_17,countable_index_of_maximal_subfield_sqrt_2_nmem,3
fatex_18,isEmpty_embedding_intermediateField_of_odd_degree_galois,0
fatex_19,galoisGroup_iso_quaternion_group,6
fatex_20,generated_single_elem_of_degree_le_p,8
fatex_21,intermediateField_rank_eq_ringChar,12
fatex_22,finite_algebraic_integers_of_finite_module,12
fatex_24,galoisGroup_iso_of_distinct_primes,9
fatex_25,fixedField_eq_algebra_adjoin,2
fatex_26,card_one_or_two_of_finite_closed_subgroup_of_absoluteGaloisGroup,10
fatex_27,isGalois_and_rank_eq_of_isPrimitiveRoot_sq,10
fatex_28,infinite_conj_of_ne_1_absoluteGaloisGroup,0
fatex_29,isClosed_zpowers_iff_isOfFinOrder,12
fatex_30,integrallyClosedIn_of_complement_multiplicatively_closed,12
fatex_31,UFD_of_ge_5,0
fatex_32,UFD_of_adicCompletion_UFD,1
fatex_33,isNoetherianRing_of_fg_of_isNoetherianRing,4
fatex_34,powerSeries_not_integrallyClosed_of_two_lt_ringKrullDim,5
fatex_35,noetherian_of_prime_ideals_fg,12
fatex_36,associatedPrimes_hom_eq_support_inter_associatedPrimes,12
fatex_37,ufd_quotDetSubOne,3
fatex_38,free_dualNumber_and_rank_eq_2,12
fatex_39,finite_primes_lies_over_of_finite_extension,11
fatex_40,free_of_rank_iff,12
fatex_41,isNoetherianRing_and_krullDim_eq_top,4
fatex_42,nonEmpty_ringEquiv_of_sub_in_cube,12
fatex_43,IsRegularLocalRing.frobenius_flat,0
fatex_44,quot_x2_sub_y2_y2_sub_z2_xy_yz_zx_not_global_complete_intersection,0
fatex_45,free_of_free_resolution,7
fatex_46,module_flat_iff,12
fatex_47,isEmpty_isomorphism_UFD_of_quotient,3
fatex_48,isAbsolutelyFlat_iff_principal_ideal_idempotent,12
fatex_49,principal_ideal_idempotent_iff_fg_ideal_is_direct_summand,12
fatex_50,isNoetherianRing_of_isLocalRing_of_field_inj_of_adicComplete_of_maximalIdeal_finite,7
fatex_51,adicCompletion_faithfullyFlat_iff,12
fatex_52,generate_unit_ideal_of_quotient,12
fatex_53,isGorensteinRing_quot_x2_sub_y2_y2_sub_z2_xy_yz_zx,11
fatex_54,not_zero_divisor_of_hausdorff_of_der_eq_one,12
fatex_55,stablyFree_iff_free_of_not_fg,12
fatex_56,projective_of_faithfullyFlat_base_change,0
fatex_57,completely_integrally_closed_polynomial_ring,12
fatex_58,flat_of_flat_over_quotient,8
fatex_59,exists_unique_valuation_eq,12
fatex_61,formallySmooth_of_formallySmooth_quotient,5
fatex_62,adicCompletion_equiv_of_smooth,0
fatex_64,homogeneous_coordinate_ring_not_isCohenMacaulayRing,7
fatex_65,Polynomial.isGorensteinRing,0
fatex_66,exists_eq_ofList_and_isRegular_of_perm,4
fatex_67,isEmpty_mvPowerSeries_tensor_mvPowerSeries_algEquiv,12
fatex_68,localization_jacobson_of_one_lt_ringKrullDim,9
fatex_69,IsRegularLocalRing.regularAtPrime,9
fatex_70,exists_minimalPrime_map_zero,12
fatex_71,fixedPoints_isCohenMacaulayRing,0
fatex_72,isCohenMacaulay_extendScalars_over_mvPolynomial_of_isCohenMacaulay,0
fatex_73,mvPolynomial_quotient_isCohenMacaulayRing_iff,0
fatex_74,IsRegularLocalRing.gorensteinAtRegularSequence,0
fatex_76,IsCatenary.of_noetherian_ufd_of_dim_le_three,11
fatex_78,IsCohenMacaulayLocalRing.isGorensteinRing_of_ufd,0
fatex_79,IsLocalRing.not_isCompleteIntersection.height_not_zero_and_not_one,0
fatex_80,isCohenMacaulayRing_of_dimension_three,0
fatex_82,subring_iso_mvPowerSeries_over_DVR,0
fatex_83,IsRegularLocalRing.flat_local_of_regular,10
fatex_84,exists_directSum_free_free_of_projective,12
fatex_85,exist_euclideanDomain_not_norm_nat,0
fatex_86,dimension_convex,0
fatex_87,exists_polynomial_ringEquiv_isEmpty_ringEquiv,0
fatex_88,quotient_not_UFD,1
fatex_89,not_isSimpleGroup_of_card_eq_336,12
fatex_90,not_finiteType_inf_algebraMap_range,0
fatex_91,pic_three_lines,3
fatex_92,dimension_sequences_of_one_dimensional_rings,0
fatex_93,exists_integral_finiteType_not_finiteDimensional,0
fatex_94,zeroSet_finite_or_contain_arithmetic_progression,0
fatex_95,p_map_ne_p,1
fatex_96,ratFunc_square_is_poly_of_orbit_contain_infinite_integer,0
fatex_97,exists_point_not_in_zero_set,0
fatex_98,exists_maximal_ideal_not_in_finite_order,0
fatex_100,free_of_countably_generated_projective_of_local_infinite_rank,0
