problem,set,solved,cost_std,cost_usd,reason,rerun_solved,rerun_cost_std,scored
fateh_1,81,Y,0.0127,0.0127,,,,Y
fateh_2,19,Y,0.3520,0.3520,,,,Y
fateh_3,81,Y,0.2317,0.2317,,,,Y
fateh_4,81,Y,1.0018,1.0018,budget_exceeded,,,Y
fateh_5,81,Y,0.0104,0.0104,,,,Y
fateh_6,81,Y,0.7296,0.7296,,,,Y
fateh_7,81,Y,0.1172,0.1172,,,,Y
fateh_8,19,N,1.0004,1.0004,budget_exceeded,,,Y
fateh_9,81,Y,0.0012,0.0012,,,,Y
fateh_10,81,Y,0.0110,0.0110,,,,Y
fateh_11,81,Y,0.0227,0.0227,,,,Y
fateh_12,81,Y,0.0233,0.0233,,,,Y
fateh_13,81,N,0.8232,0.8232,uses_sorry,,,Y
fateh_14,81,Y,0.0035,0.0035,,,,Y
fateh_15,81,Y,0.0451,0.0451,,,,Y
fateh_16,81,N,0.7403,0.7403,compile_error,,,Y
fateh_17,19,Y,0.0187,0.0187,,,,Y
fateh_18,81,Y,0.8373,0.8373,,,,Y
fateh_19,19,Y,0.0986,0.0986,,,,Y
fateh_20,19,Y,0.1424,0.1424,,,,Y
fateh_21,81,N,0.7686,0.7686,timeout,Y,1.0006,Y
fateh_22,81,Y,0.7682,0.7682,,,,Y
fateh_23,81,N,0.4035,0.4035,compile_error,,,Y
fateh_24,81,Y,0.0177,0.0177,,,,Y
fateh_25,81,Y,0.2655,0.2655,,,,Y
fateh_26,19,Y,0.0918,0.0918,,,,Y
fateh_27,81,Y,0.4029,0.4029,,,,Y
fateh_28,81,N,0.2775,0.2775,statement_changed,,,Y
fateh_29,81,Y,0.6936,0.6936,,,,Y
fateh_30,81,N,1.0002,1.0002,budget_exceeded,,,Y
fateh_31,81,N,0.9964,0.9964,uses_sorry,,,Y
fateh_32,81,N,1.0007,1.0007,budget_exceeded,,,Y
fateh_33,19,Y,0.3045,0.3045,,,,Y
fateh_34,81,Y,0.0303,0.0303,,,,Y
fateh_35,81,N,0.3913,0.3913,compile_error,,,Y
fateh_36,81,N,0.7681,0.7681,uses_sorry,,,Y
fateh_37,81,Y,0.7896,0.7896,,,,Y
fateh_38,81,Y,0.6815,0.6815,,,,Y
fateh_39,81,N,0.8610,0.8610,compile_error,,,Y
fateh_40,81,Y,0.1373,0.1373,,,,Y
fateh_41,81,N,0.9814,0.9814,timeout,,,Y
fateh_42,81,N,1.0021,1.0021,budget_exceeded,,,Y
fateh_43,81,Y,0.1877,0.1877,,,,Y
fateh_44,81,N,1.0008,1.0008,budget_exceeded,,,Y
fateh_45,81,N,1.0002,1.0002,budget_exceeded,,,Y
fateh_46,19,Y,0.1028,0.1028,,,,Y
fateh_47,81,Y,0.0439,0.0439,,,,Y
fateh_48,81,N,1.0003,1.0003,budget_exceeded,,,Y
fateh_49,81,Y,0.9095,0.9095,,,,Y
fateh_50,81,N,1.0000,1.0000,budget_exceeded,,,Y
fateh_51,81,N,1.0010,1.0010,budget_exceeded,,,Y
fateh_52,81,N,1.0011,1.0011,budget_exceeded,,,Y
fateh_53,19,Y,0.0008,0.0008,,,,Y
fateh_54,81,N,1.0004,1.0004,budget_exceeded,,,Y
fateh_55,19,N,0.6382,0.6382,compile_error,,,Y
fateh_56,81,Y,0.0485,0.0485,,,,Y
fateh_57,81,Y,0.0990,0.0990,,,,Y
fateh_58,81,Y,0.3908,0.3908,,,,Y
fateh_59,81,N,0.4148,0.4148,compile_error,,,Y
fateh_60,81,N,0.7601,0.7601,uses_sorry,,,Y
fateh_61,81,Y,0.2792,0.2792,,,,Y
fateh_62,81,Y,0.7717,0.7717,,,,Y
fateh_63,81,N,0.5312,0.5312,grader_error,N,1.0005,Y
fateh_64,81,Y,0.0376,0.0376,,,,Y
fateh_65,81,N,0.5981,0.5981,uses_sorry,,,Y
fateh_66,81,Y,0.2142,0.2142,,,,Y
fateh_67,81,Y,0.3004,0.3004,,,,Y
fateh_68,81,Y,0.1970,0.1970,,,,Y
fateh_69,81,Y,0.4279,0.4279,,,,Y
fateh_70,81,Y,0.8778,0.8778,,,,Y
fateh_71,81,Y,0.2362,0.2362,,,,Y
fateh_72,81,Y,0.1016,0.1016,,,,Y
fateh_73,81,Y,0.0041,0.0041,,,,Y
fateh_74,19,Y,0.0035,0.0035,,,,Y
fateh_75,81,Y,0.2628,0.2628,,,,Y
fateh_76,81,Y,0.0026,0.0026,,,,Y
fateh_77,19,Y,0.0766,0.0766,,,,Y
fateh_78,19,N,0.1800,0.1800,statement_changed,,,N
fateh_79,81,Y,0.0080,0.0080,,,,Y
fateh_80,81,Y,0.0081,0.0081,,,,Y
fateh_81,19,N,0.5952,0.5952,uses_sorry,,,Y
fateh_82,81,Y,0.0087,0.0087,,,,Y
fateh_83,81,Y,0.0030,0.0030,,,,Y
fateh_84,81,Y,0.1513,0.1513,,,,Y
fateh_85,81,N,0.7682,0.7682,uses_sorry,,,Y
fateh_86,81,Y,0.0609,0.0609,,,,Y
fateh_87,81,Y,0.0901,0.0901,,,,Y
fateh_88,19,Y,0.1674,0.1674,,,,Y
fateh_89,19,Y,0.1254,0.1254,,,,Y
fateh_90,81,N,1.0008,1.0008,budget_exceeded,,,Y
fateh_91,81,Y,0.5445,0.5445,,,,Y
fateh_92,81,Y,0.0697,0.0697,,,,Y
fateh_93,81,N,0.7567,0.7567,compile_error,,,Y
fateh_94,19,N,0.5648,0.5648,compile_error,,,Y
fateh_95,81,N,1.0004,1.0004,budget_exceeded,,,Y
fateh_96,19,Y,0.0124,0.0124,,,,Y
fateh_97,81,Y,0.0018,0.0018,,,,Y
fateh_98,19,N,1.0009,1.0009,budget_exceeded,,,Y
fateh_99,81,Y,0.0090,0.0090,,,,Y
fateh_100,81,N,0.9881,0.9881,timeout,,,Y
